feature,mean_shap
rcount,0.9130876
comorbidity_score,0.8243296
hematocrit,0.2865912
sodium,0.27427033
bmi,0.2732892
creatinine,0.26902023
pulse,0.2618286
respiration,0.24411918
glucose,0.2372798
is_frequent_readmit,0.16452482
neutrophils,0.13880843
bloodureanitro,0.076687
metabolic_stress_index,0.041896198
psychologicaldisordermajor,0.041895192
bun_creatinine_ratio,0.027379503
facid,0.02526086
irondef,0.010535063
admit_month,0.008237914
admit_dayofweek,0.0065525137
hemo,0.0062535694
secondarydiagnosisnonicd9,0.0059495578
substancedependence,0.0048928885
pneum,0.004216791
malnutrition,0.003835056
admit_season,0.0034280757
gender,0.0027801215
dialysisrenalendstage,0.0027638574
depress,0.002565719
asthma,0.0020757045
admit_quarter,0.00110826
bmi_category,0.0008081334
admit_is_weekend,0.00049850135
psychother,0.0004808156
fibrosisandother,0.00031322934
